SecondaryStoreID	StoreName	DateOfBusiness	TotalSales	Count_TC	Salestype_Ctg	Region
6701002	Berjaya Times Square	2025-03-14	1661	55	TAKE AWAY	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-15	3944	113	DINE IN	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-15	988	22	FOOD PANDA	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-15	1208	30	GRAB FOOD	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-15		1	NONE	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-15	2945	95	TAKE AWAY	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-16	3856	116	DINE IN	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-16	627	16	FOOD PANDA	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-16	916	20	GRAB FOOD	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-16		11	NONE	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-16	4070	131	TAKE AWAY	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-17	2882	81	DINE IN	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-17	370	11	FOOD PANDA	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-17	696	21	GRAB FOOD	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-17	2514	84	TAKE AWAY	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-18	3962	116	DINE IN	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-18	822	22	FOOD PANDA	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-18	1069	24	GRAB FOOD	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-18		12	NONE	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-18	3452	110	TAKE AWAY	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-19	2516	75	DINE IN	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-19		1	Drive Thru	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-19	471	13	FOOD PANDA	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-19	1185	34	GRAB FOOD	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-19		13	NONE	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-19	1943	73	TAKE AWAY	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-20	2498	79	DINE IN	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-20	887	22	FOOD PANDA	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-20	1340	32	GRAB FOOD	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-20		14	NONE	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-20	1547	61	TAKE AWAY	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-21	3403	95	DINE IN	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-21	891	26	FOOD PANDA	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-21	691	21	GRAB FOOD	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-21		2	NONE	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-21	2515	90	TAKE AWAY	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-22	4092	118	DINE IN	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-22		1	Drive Thru	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-22	616	14	FOOD PANDA	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-22	1239	24	GRAB FOOD	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-22		17	NONE	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-22	4177	126	TAKE AWAY	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-23	4156	115	DINE IN	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-23	727	18	FOOD PANDA	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-23	943	25	GRAB FOOD	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-23		10	NONE	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-23	5590	162	TAKE AWAY	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-24	3334	91	DINE IN	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-24	815	20	FOOD PANDA	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-24	787	18	GRAB FOOD	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-24		17	NONE	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-24	2687	88	TAKE AWAY	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-01	2793	96	DINE IN	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-01	1009	26	FOOD PANDA	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-01	2375	51	GRAB FOOD	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-01		11	NONE	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-01	1925	52	TAKE AWAY	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-02	624	17	DINE IN	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-02	553	15	FOOD PANDA	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-02	384	9	GRAB FOOD	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-02		6	NONE	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-02	249	12	TAKE AWAY	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-03	580	19	DINE IN	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-03	594	16	FOOD PANDA	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-03	402	10	GRAB FOOD	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-03		14	NONE	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-03	415	16	TAKE AWAY	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-04	450	16	DINE IN	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-04	364	12	FOOD PANDA	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-04	504	14	GRAB FOOD	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-04		7	NONE	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-04	257	11	TAKE AWAY	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-05	269	9	DINE IN	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-05	558	15	FOOD PANDA	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-05	603	15	GRAB FOOD	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-05		8	NONE	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-05	544	22	TAKE AWAY	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-06	611	26	DINE IN	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-06	663	19	FOOD PANDA	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-06	489	14	GRAB FOOD	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-06		13	NONE	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-06	670	21	TAKE AWAY	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-07	1020	32	DINE IN	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-07	746	21	FOOD PANDA	FEDERAL TERRITORY
